Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cdh20,9.817259899497632,-2.9924817831813235,0.7152145242082304,-4.696185095174364,2.6506536630109246e-06,0.00011114590222570466
Mgat4c,2.892560689473825,-2.8762680403137586,1.272820374226562,-2.73629717045039,0.006213488620371965,0.04189314684352111
Fam89a,2.819699432304025,-2.8671088602924906,1.298735551011174,-2.7083351357520113,0.006762169960027699,0.044218077288661485
Cables1,14.226249044578603,-2.8465684481451,0.7482422215532434,-4.651629588022774,3.2932222348203595e-06,0.0001322276889336755
Prex2,39.31660657513337,-2.8172890859684947,0.5414920827182619,-5.948426328115548,2.7073269109836196e-09,4.735501528297634e-07
Csgalnact1,8.43916321847269,-2.808548566924839,0.722227321499293,-4.388021565536829,1.1438643593008798e-05,0.0003785748637747916
Arhgap24,2.685674313407458,-2.7947903492480473,1.274628472615439,-2.6783249284307695,0.007399140130595691,0.0473328483589413
Nkain3,2.6928140292159046,-2.7873480613437964,1.2783057717378583,-2.675498804441477,0.007461813934873524,0.04768395084477633
Amy2b,7.893793791403861,-2.748953831862146,0.7844237465954913,-4.0398701787570666,5.348079582328434e-05,0.0013044200479288715
Ephx2,2.6989771942066647,-2.7391058860679665,1.2861829420508206,-2.663392655651656,0.007735708865967942,0.04867215794188669
Cpe,456.9366242417088,-2.6864876681644545,0.661665256708193,-4.902372519446364,9.468606102727408e-07,4.912441233974338e-05
Megf10,8.393524578849869,-2.646135916504983,0.7508442262584208,-4.191901724566912,2.7662582924191363e-05,0.0007876759658693001
Me1,11.290636805983755,-2.6273382497685462,0.5880195813124731,-4.956919736420833,7.161954558361717e-07,4.1298878667197165e-05
Axl,17.29748857600915,-2.62399618955806,0.47442772134960104,-5.975817303670433,2.2893945895927956e-09,4.5117079597040405e-07
Rgn,12.790514387553863,-2.6121968742772275,0.5053543398851831,-5.5144736585416165,3.498252947953813e-08,3.294816084211268e-06
Per3,9.626153949463367,-2.6066922166612403,0.5936296689608168,-4.805715857224132,1.5419876775222493e-06,7.206143940298633e-05
Ctnna2,18.50335511384616,-2.5473679110268987,0.4271107617323149,-6.34529456151084,2.220002652195672e-10,6.684802614021752e-08
Gstm3,14.966389801527221,-2.5217341435940064,0.47333738578426915,-5.7315548454463405,9.951416022213505e-09,1.3538348641775795e-06
Myeov2,52.88555694397003,-2.4274406718469432,0.5723464224551655,-4.941408420397383,7.756024524724803e-07,4.239498405389754e-05
Nebl,20.519047216241503,-2.426791587931406,0.4156453732675886,-6.190235686271501,6.007432278710921e-10,1.3480102858226438e-07
Slc25a33,10.444508477455503,-2.408331832546376,0.5400700818681528,-4.869097964746744,1.121088222621826e-06,5.579920405602291e-05
Grm3,19.973672669114823,-2.4046621289777543,0.9156460555897847,-3.8532549432449237,0.00011655791537510215,0.00228707550617428
Gabrg1,11.728708413731578,-2.3875452505784676,0.8174357329561888,-3.962379113820829,7.42065825536134e-05,0.0016519734487026225
Ptprm,3.4394109599158793,-2.37030285346253,1.0262630649102873,-2.9588924289064025,0.0030874685523018084,0.025611764874243458
Mapk10,16.768058615857363,-2.344144354587727,0.39985629089737307,-6.195322061641443,5.816597080783351e-10,1.3480102858226438e-07
Bmpr1b,18.412209992729597,-2.3027552721203013,0.4776736785722916,-5.441502701921014,5.28329916587272e-08,4.620622499067541e-06
Mybpc1,5.319525365708196,-2.2892709844346024,0.7927784559845625,-3.524186100134755,0.0004247857900434668,0.0059237781472576394
Rps14,60.3482026451271,-2.2287182132583396,0.9014743565311788,-3.668953635572516,0.00024354523843859215,0.0038929084849113867
Slc7a11,20.623515361942058,-2.210277476355543,0.4813351335831497,-5.251796474698328,1.5062284549658204e-07,1.0722244885233433e-05
Hmgn3,26.188003975097345,-2.2027455937069615,0.4202390846763503,-5.707086278602485,1.1492653391989066e-08,1.4969792354416396e-06
Znrf3,10.900140562938212,-2.182630664150138,0.5561986974203503,-4.5487476442566885,5.396611081240021e-06,0.000200505069502226
Ston2,17.09169470157197,-2.1821918128626487,0.42253816630112,-5.654651705046749,1.561626154430015e-08,1.8745637877295199e-06
Adrb2,3.1758798867584233,-2.179536101823629,1.0789408336952575,-2.8118008020285785,0.004926500253727272,0.03573463809634877
Kcna2,10.240535426442126,-2.178872006726607,0.6041131108230351,-4.316130364867824,1.5878822420035268e-05,0.0005010832518322469
Gpc5,16.87402964304345,-2.170958544030951,0.7928093219648079,-3.8900968739795787,0.00010020421171061858,0.002086376292486228
Ophn1,11.853547663602132,-2.164503152725204,0.4732627190735989,-5.035711117921636,4.7607808912815954e-07,3.067947433307992e-05
Gpr98,34.534792792169206,-2.0663711471612016,0.793980870471895,-3.8082760480751188,0.00013993900379234697,0.002572769303318624
Syne1,15.836960367343433,-2.064918477254644,0.693563988163381,-3.989565880498896,6.619433270043552e-05,0.001516071947394933
Tspan7,158.2327601578975,-2.063289998346988,0.4862585084049989,-5.0235020875771745,5.07376730351112e-07,3.202227157947946e-05
Oat,19.576821589504814,-2.0447705588828105,0.40484327255335895,-5.553699921472115,2.7968545024646172e-08,2.902092078659049e-06
Fggy,2.796308845838463,-2.0007818257294763,1.1300405792258805,-2.6516073595914946,0.008010964026046147,0.04989127341551832
Sparcl1,1348.719769531538,-1.9905235442305946,0.48122594331024565,-4.907925886031758,9.20446223295784e-07,4.816215195740846e-05
Gramd1b,2.988866026298729,-1.9798123746593312,1.1131369726968583,-2.7180769421480666,0.006566256674928288,0.04341104034979587
Ddit4,10.240467544316507,-1.9315648631218512,0.5484709109757714,-4.1570712668662155,3.2235345547235755e-05,0.0008770879352896769
Bai3,14.533375419718377,-1.9268611185328544,0.410620378065533,-5.158359541699512,2.4912288827343716e-07,1.6759673868241562e-05
Ppm1l,3.2971035584333594,-1.8713424336376268,0.9018632966230331,-2.8781183893469704,0.004000549725858112,0.030884445676801212
Padi2,19.942251125143166,-1.8428909776816569,0.6047986520773909,-4.012986565564256,5.995532679719598e-05,0.0014281965395036335
Adcy2,12.820614322460171,-1.8234526428713766,0.44066679783723495,-4.71480774167436,2.4193908451783904e-06,0.00010285771357070907
Ablim1,28.019026940251894,-1.811692487622332,0.3454848287164634,-5.802817077794967,6.520992028616078e-09,9.73695443882625e-07
Paqr6,28.871219882906452,-1.8000333126038057,0.5758796819141923,-4.120788106403045,3.775785730541036e-05,0.000989084746888635
Aspa,3.198548941528381,-1.792997771395891,0.924426557171678,-2.814151150127193,0.00489062269335696,0.035558660485429106
Il17d,16.890556855847187,-1.778055067232366,0.411357250713817,-4.9553991169147755,7.218196696161543e-07,4.1298878667197165e-05
Dbc1,5.475298663043309,-1.7756235827903475,0.7008576033238252,-3.3475268150024604,0.0008153609918293362,0.009617803452753749
Acsl6,23.89264553644375,-1.7735511126345083,0.7492270594375873,-3.6271162691808065,0.00028660425732635893,0.004288530707326574
Aldh6a1,26.4652424913318,-1.763738193474263,0.42162211399531335,-4.92539523134683,8.419001026496596e-07,4.4777548563577275e-05
Ptch1,5.47520262373188,-1.753486401725147,0.7008397958459306,-3.3350697870759882,0.0008527799482384074,0.009869033729897033
Rnpc3,12.919359643484425,-1.7515857135959523,0.5807119013444663,-3.9006604861442864,9.593060737276344e-05,0.0020181689977184117
Bcl2,3.2556427530327294,-1.73483901189854,0.9403175578907519,-2.794102368108675,0.005204400097163465,0.037072649818122035
