Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,score
Kcne4,1.2549844629417386,2.9716792166842137e-07,0.0012284405495782916,0.2425492199422854,0.8083546231545715,0.902054033219717,1.3303449287775218e-08
Hnrpdl,22.592341129361873,4.588551593285904e-07,0.0012316317713815448,0.15700648533320805,0.8752397369393488,0.9354430289006099,1.3298841745240964e-08
Eif3k,22.00423400309972,3.6235085651604015e-07,0.0012317761553744726,0.2047013472873756,0.8378054677153531,0.9194203124289948,1.3220699204624664e-08
Tcf20,1.2482098941895783,2.8484788780043033e-07,0.0012275623309077868,0.24861673155786343,0.8036572648870985,0.8997743871619356,1.3064939627871558e-08
Tardbp,15.935672180415928,9.620843157611468e-07,0.0012270052368785914,0.0770177832354286,0.93860939801071,0.9696535157984417,1.2875981865343357e-08
Srsf1,8.02340266858266,4.1987328747889054e-07,0.001223845226135479,0.1661215121113243,0.8680613251524585,0.9318378805161057,1.2873163356636277e-08
Trim37,4.171030269989801,3.9319978917212136e-07,0.0012209167519690136,0.1797477968904191,0.8573505680116235,0.9276599818605795,1.2822708291330604e-08
Rps6kb1,2.9259594467450416,3.6422444114222486e-07,0.0012241365850003212,0.19648025166789582,0.8442342882987297,0.9225057156528437,1.275912249091307e-08
Ddx59,1.5717713754704254,4.176845324789161e-07,0.0012235143445268218,0.1648101860181348,0.8690933864004633,0.9322918716564983,1.2717701345702568e-08
Ruvbl1,2.1664142742662436,3.3237474509020246e-07,0.0012263379968108945,0.2114818410954291,0.8325113004888404,0.9164133534364799,1.2599858321118904e-08
Gpr37,1.9966093752640577,2.801819922648294e-07,0.001236029571882827,0.2434438754634894,0.8076615582123271,0.9017880830523193,1.2578912904750596e-08
Lrba,3.0381772073094835,3.505528335208631e-07,0.0012169495674427815,0.19954736846472973,0.8418345936430482,0.9212539645656317,1.2486912836671611e-08
Mbd1,1.960258354109074,3.239272494515091e-07,0.0012246179235340113,0.21415613186802138,0.8304253041200834,0.9156815042909133,1.2392017670004352e-08
Snrpd1,3.8487369391718316,3.7906275442743426e-07,0.0012242013011692062,0.18008561632187434,0.8570853545125856,0.9276599818605795,1.2361682935703631e-08
Snn,8.01658171726692,3.245484633163948e-07,0.001217552540762152,0.21081067685916235,0.8330350068399234,0.9164133534364799,1.2303175005109532e-08
Ddhd1,1.856135319364203,3.091065539071656e-07,0.0012224566777343801,0.220723582514434,0.8253076681022353,0.9127694501344228,1.2252644994992601e-08
Huwe1,9.353627524140599,4.5690740105476786e-07,0.0012174900112284172,0.14432205683204494,0.885246161804753,0.9406455912755822,1.2141846156706298e-08
Zfc3h1,4.151265323935626,3.6755698344062284e-07,0.0012173391418947744,0.1826114067125723,0.8551029335846029,0.9267812695855961,1.2137743096113102e-08
Alms1,3.798603743424864,3.663930159779446e-07,0.001217579039939154,0.18386157619590512,0.8541220486229391,0.9267812695855961,1.2099305687301073e-08
Med20,1.9429835266157542,3.1995322182848424e-07,0.001224478098170397,0.2080362066299559,0.835200696958847,0.9177546433729793,1.1925747460817787e-08
Enkur,2.8796125504117893,3.3905957856324893e-07,0.0012253163508273504,0.196232856799775,0.8444279119655231,0.9225057156528437,1.1877573841664762e-08
Tyw1,2.1655428397663536,3.2694327729197e-07,0.001225978939777619,0.2031460566059708,0.8390208741976717,0.9197924910797094,1.1871356236654264e-08
Tpi1,28.078633370678663,3.752068571631781e-07,0.0012349144302455746,0.17418927080586005,0.8617167172946585,0.9299188689014453,1.1839629853367837e-08
Jak1,13.046314401233605,4.5520846080195977e-07,0.0012142049628153513,0.1378723146060055,0.8903413311604512,0.9428593027788069,1.1631991680813051e-08
Sobp,2.4929768533032157,3.3237140994488117e-07,0.0012211339313375116,0.19426176776125817,0.8459709202409968,0.922849959678436,1.1589426260553921e-08
Trmt112,7.4575224743437145,3.514441148316274e-07,0.0012310374237304439,0.18137829585660714,0.8560706537206174,0.9274224990404566,1.1500085215852676e-08
Dhx36,4.756697921932701,3.6423632818294223e-07,0.0012252236837214888,0.1711947034398754,0.8640706720602765,0.9299443672414996,1.148911808006617e-08
Gstt2,1.6880365299859839,1.9323776618178777e-07,0.0012909318980940917,0.308784616331874,0.7574853720665369,0.8739776569527589,1.1304345527456056e-08
Git2,3.2341645693524743,3.478029758780473e-07,0.0012204658730828079,0.1787861194045523,0.8581056447841888,0.9279849421248549,1.1289361407846189e-08
Snx18,1.7649126574922707,3.0525650019333085e-07,0.0012234176200114884,0.20384877429278803,0.8384716766238286,0.9194203124289948,1.1137559900134608e-08
Mmd,1.9735940352830488,3.069075679210333e-07,0.0012251205367524514,0.2026776850312473,0.8393869659417652,0.9198755793064841,1.1131816946819914e-08
Lyrm4,1.9341387452354672,3.3676647815047927e-07,0.0012353202795780554,0.18236628827459014,0.8552952802069813,0.9267812695855961,1.1120955877127645e-08
