Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Hsd17b4,36.842626514396414,-1.0838393321532918,0.230716326616218,-5.233751755284783,1.6610350391785495e-07,1.1601563951446493e-05
Gas7,4.324901890493953,2.4267305977255167,0.5026929974543622,5.233017021992482,1.667653753229813e-07,1.1601563951446493e-05
Cxxc5,4.249886933312769,3.221690180220318,0.6628711021988225,5.213031823930222,1.857790102790077e-07,1.2779091021663877e-05
Zdhhc9,8.215718170795487,2.080097571199875,0.43673952061335475,5.200223650436451,1.9904886614902188e-07,1.3539746206270133e-05
Bai3,14.533375419718377,-1.9268611185328544,0.410620378065533,-5.158359541699512,2.4912288827343716e-07,1.6759673868241562e-05
Tcf12,17.732393485473985,1.5156655946686126,0.3277322394685624,5.11046948662713,3.213592137775163e-07,2.138435985593429e-05
Hat1,17.371436102321276,1.6540893362256557,0.3629666496715406,5.058701314646287,4.221214509145763e-07,2.77873927150434e-05
Arhgef3,3.3698272572572963,3.6784652873573296,0.768609003916968,5.055519926459105,4.2921980751750104e-07,2.7954081506618526e-05
Ophn1,11.853547663602132,-2.164503152725204,0.4732627190735989,-5.035711117921636,4.7607808912815954e-07,3.067947433307992e-05
Parp14,6.551526519982205,1.8628652386263327,0.40961934077111234,5.023758280851055,5.067000349186754e-07,3.202227157947946e-05
Tspan7,158.2327601578975,-2.063289998346988,0.4862585084049989,-5.0235020875771745,5.07376730351112e-07,3.202227157947946e-05
Tmem47,36.90470860949495,-1.5657411576360836,0.3631730390845278,-5.010206480089126,5.43716672756038e-07,3.3622560309216814e-05
Dstn,30.529068577544876,1.1663991167537704,0.2603157819977544,5.010592397879483,5.426273707003578e-07,3.3622560309216814e-05
Tns3,9.753001016749987,-3.4769751930173216,0.7225457752060365,-5.002683838329588,5.6537622901529e-07,3.426963637655055e-05
Aqp1,15.581615974532273,4.321566695121794,0.9323205475167021,5.003878922854546,5.61880558301723e-07,3.426963637655055e-05
Ppp1cb,23.864700087689137,1.4042905359256452,0.3124665785843386,4.991542814593451,5.989890141134509e-07,3.5951085729436735e-05
Timp1,12.518006425185282,3.1175583864863663,0.6805975742002831,4.9870411812647975,6.131100042437236e-07,3.644135384446676e-05
Vcan,12.870256638476615,2.361103093488187,0.5240170172488748,4.975567145689875,6.505687776724016e-07,3.8295981316446564e-05
Mllt11,8.212586774275488,2.388720326754116,0.5278101487253718,4.971309259684871,6.650227047960437e-07,3.8773990464394085e-05
Me1,11.290636805983755,-2.6273382497685462,0.5880195813124731,-4.956919736420833,7.161954558361717e-07,4.1298878667197165e-05
Il17d,16.890556855847187,-1.778055067232366,0.411357250713817,-4.9553991169147755,7.218196696161543e-07,4.1298878667197165e-05
Ghitm,14.01069047953299,-1.72156925214484,0.38393046411411486,-4.952795637356327,7.315479221592892e-07,4.1467929439436745e-05
Nampt,14.49974727400522,3.504823786285801,0.7727751555102719,4.945979094004721,7.576209027260162e-07,4.214776215547717e-05
Pitpnc1,24.470317462121468,-1.28310537377794,0.2964613540771427,-4.944296051172306,7.64194968843183e-07,4.214776215547717e-05
Myeov2,52.88555694397003,-2.4274406718469432,0.5723464224551655,-4.941408420397383,7.756024524724803e-07,4.239498405389754e-05
App,36.452294649433654,2.0972197347872967,0.4687549996040338,4.939364127785557,7.837773389587173e-07,4.2462697956683776e-05
Aldh6a1,26.4652424913318,-1.763738193474263,0.42162211399531335,-4.92539523134683,8.419001026496596e-07,4.4777548563577275e-05
Mest,9.59404434620106,3.2359099619518017,0.716281037768217,4.923880291566948,8.484475062683705e-07,4.4777548563577275e-05
Setd5,10.23535364380132,1.3397765705307705,0.3059260904071133,4.9263027508287855,8.380012371363311e-07,4.4777548563577275e-05
