Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PEX5L,378.8255903613308,-6.27775640103249,0.8230995936398251,-10.091309617454751,6.0358799910250924e-24,2.4155866082263827e-21
SLC24A2,861.1621353814564,-5.32812291106793,0.6474991502514822,-10.08455319665831,6.465867336570352e-24,2.5301657317703855e-21
FGFR2,1332.5324803210506,-3.5568289164938034,0.4110347871730801,-10.011593261794197,1.355516771561972e-23,5.188977137051036e-21
FAM124A,459.4769699932299,-3.1448956146155633,0.338139498770939,-9.965133852214747,2.1658192787184668e-23,8.114449293394359e-21
DNAH17,388.775313951867,-3.667278922700475,0.41236392417765977,-9.948506618096271,2.5599581723890152e-23,9.391313220332952e-21
MAL,1564.1393133114084,-4.7644862951578295,0.6288473859277478,-9.837360804374716,7.772294270090248e-23,2.7931087714697786e-20
ADARB2,366.26893027647816,-5.256064855273139,0.6361447282712642,-9.818654630191585,9.358412379935854e-23,3.295845671965809e-20
ARAP2,316.2399296150935,-2.9255707840530603,0.3288824950441223,-9.793856911673169,1.1964299150390974e-22,4.1309675242987187e-20
LDB3,240.90941953565596,-4.713339623743161,0.6056678352555181,-9.719225752688008,2.4967266779172943e-22,8.454780782970313e-20
MTURN,1387.4599301311937,-3.593577361815797,0.44208706967858774,-9.688050236729495,3.3893710016489187e-22,1.1261025276987888e-19
ST18,192.89726899008164,-6.6990071275865155,0.9095045178838875,-9.66314733680506,4.323720907669598e-22,1.4099333604287772e-19
S1PR5,835.8813527205815,-4.760064507332723,0.6373413139634376,-9.646961372348454,5.063383656491442e-22,1.6211113237665058e-19
PLLP,3398.197706101874,-3.7572950483263594,0.4831931689651367,-9.630072524756367,5.96873371235394e-22,1.8768469989435808e-19
PRR18,360.73848153053996,-4.53356212557533,0.5742648568607494,-9.611931245893972,7.120080032978942e-22,2.1996050754513366e-19
LANCL1,1774.5503768490075,-2.4436096737662636,0.2733986416643742,-9.558524677322554,1.1944724316779189e-21,3.6170084987472285e-19
ERMN,3142.435293784846,-6.715794272188775,0.9924272615128338,-9.55702523947929,1.2119001727871345e-21,3.6170084987472285e-19
MYRF,1154.5309848640381,-4.345297026480302,0.546418958452804,-9.532652064799178,1.5331552651289052e-21,4.499555177275815e-19
QDPR,5944.367391620887,-2.4537438080939094,0.27909690400320114,-9.517243553830289,1.7783340487011146e-21,5.133554797307857e-19
SHTN1,932.0658190056909,-4.008916096081919,0.4962809758519787,-9.497216424372668,2.1557567388194565e-21,6.122696840947065e-19
MAP7,449.42998301933596,-2.984007945263279,0.3431092815795543,-9.493888456765733,2.2257319085527718e-21,6.221097329794565e-19
PIEZO2,139.39563470593345,-5.623728558026404,0.7459069540380767,-9.471331037016745,2.7630016727016968e-21,7.602140071031903e-19
LINC01105,358.0285203476925,-4.391751190591725,0.564643355406896,-9.44321308511338,3.6151989380670484e-21,9.793852015449639e-19
CDH19,134.03385766732544,-5.6832559741542275,0.8054013755700804,-9.398214297789663,5.549690331695228e-21,1.4806741977397163e-18
DOCK5,158.22956778870517,-4.588313895029195,0.643723494903972,-9.264716977180669,1.9559536787487402e-20,5.065057107218613e-18
ENPP2,3135.9962567670013,-4.737837238607444,0.6408451805629368,-9.261671371964699,2.0125678746417284e-20,5.136131551386405e-18
SPOCK3,1209.0705369204672,-6.812469604340909,1.1101456441018585,-9.254885959693343,2.1445921945758297e-20,5.394874850612255e-18
PAQR8,2409.832545132357,-2.973638545356352,0.38057450992405667,-9.227061108542363,2.781589279127133e-20,6.898733185373195e-18
NINJ2,581.9363095415125,-4.145368228921147,0.522205678054347,-9.177733573979525,4.402597090858749e-20,1.0767407246240516e-17
TSPAN15,1927.8996233184757,-3.193974726293352,0.39138047259963976,-9.144799214639049,5.974073639710495e-20,1.4410611331734535e-17
PTGDS,9338.792437974393,-3.2383158845070423,0.4122861079449058,-9.13408143676944,6.596437306318221e-20,1.5696846557696967e-17
CHADL,1202.4692927963915,-3.5611937067153345,0.4853822228286171,-9.104739922706042,8.647336914836051e-20,2.0302794097779737e-17
