Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Binding (GO:0051099),7/91,0.2009765304037206,0.7317456537600887,0,0,1.5073505912432088,2.4186452300340795,FKBP1A;FOXC1;CAV1;RARA;TRIB3;NME1;ADD2
GO_Biological_Process_2023,Autonomic Nervous System Development (GO:0048483),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,KIF26A;FN1
GO_Biological_Process_2023,Cell Surface Receptor Signaling Pathway Involved In Heart Development (GO:0061311),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,HEY1;SNAI2
GO_Biological_Process_2023,Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,SCN3B;SCN4B
GO_Biological_Process_2023,Mesonephric Tubule Development (GO:0072164),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,FOXC1;SIX1
GO_Biological_Process_2023,Negative Regulation Of ATP-dependent Activity (GO:0032780),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,SLN;TP53
GO_Biological_Process_2023,Negative Regulation Of RNA Biosynthetic Process (GO:1902679),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,APOBEC3C;APOBEC3B
GO_Biological_Process_2023,Negative Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002862),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,SRC;PLK2
GO_Biological_Process_2023,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902254),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,MUC1;CD44
GO_Biological_Process_2023,Negative Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046426),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,SOCS3;CAV1
GO_Biological_Process_2023,Positive Regulation Of Cardiac Muscle Tissue Growth (GO:0055023),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,PIM1;TBX2
GO_Biological_Process_2023,Positive Regulation Of Collagen Metabolic Process (GO:0010714),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,F2R;VIM
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Migration (GO:2000403),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,CXCL10;NEDD9
GO_Biological_Process_2023,Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,IGFBP5;MDK
GO_Biological_Process_2023,Positive Regulation Of Stem Cell Proliferation (GO:2000648),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,CITED1;LTBP2
GO_Biological_Process_2023,Protein Kinase A Signaling (GO:0010737),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,EDNRA;GAL
GO_Biological_Process_2023,Regulation Of Interleukin-1 Production (GO:0032652),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,F2R;SAA1
GO_Biological_Process_2023,Regulation Of Plasminogen Activation (GO:0010755),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,F12;S100A10
GO_Biological_Process_2023,Regulation Of Protein Kinase A Signaling (GO:0010738),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,AKAP12;MC1R
GO_Biological_Process_2023,Regulation Of Protein Kinase C Signaling (GO:0090036),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,MC1R;VEGFA
GO_Biological_Process_2023,Regulation Of Response To Cytokine Stimulus (GO:0060759),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,MAPK7;CD24
GO_Biological_Process_2023,Response To UV-B (GO:0010224),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,MFAP4;CRIP1
GO_Biological_Process_2023,Ruffle Organization (GO:0031529),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,TPM1;PIP5K1A
GO_Biological_Process_2023,Stabilization Of Membrane Potential (GO:0030322),2/16,0.203928962361142,0.7317456537600887,0,0,2.5812431842966195,4.1041342519200565,KCNK15;KCNN4
