Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,score
BET1,328.61918550023654,0.0032280455221770535,0.2460707544035985,0.015551909953137174,0.9875918713350138,0.9930622009101335,9.760151928532673e-06
CD7,3.370264825312698,0.016100390824810306,1.332819136456715,0.0028676680240474744,0.9977119350940961,0.9986760723665266,9.263447032078798e-06
DCHS2,17.268983887011085,0.006916414915572613,0.4236104706099312,0.00706357614464655,0.9943641285163001,0.996968293913902,9.12035210644639e-06
SMURF1,171.72328518849707,0.0030571817188485536,0.19188608060909063,0.014519412467104618,0.9884155919866197,0.9934868162996173,8.675950505089088e-06
SAMD11,19.510763188712303,0.014835807537668388,0.335126742063205,0.0024428701402077952,0.9980508735696879,0.9987882378204499,7.812250478190886e-06
LOC101929555,4.867888456189511,0.0002037950548673793,0.5115588833664728,-0.15815574331163781,0.8743340764800187,0.9251551866550536,6.885299905775559e-06
LIPH,5.25719779753147,0.00800727566408986,0.5636582449401821,0.004724678330875649,0.996230266130074,0.9980439640601054,6.808806874067138e-06
TM4SF18,9.336195472668102,0.011348202224075355,2.078024857894477,0.0028779722083390174,0.9977037135784648,0.9986760723665266,6.529249591261362e-06
FBXL22,22.10741816978907,0.002891589842836797,0.46066917999463164,-0.010472575650621048,0.9916442463128011,0.9950767675223094,6.197872125080882e-06
MTHFS,24.197863408800742,0.003386049109403413,0.37351005591281544,0.00893712340132031,0.9928693021442804,0.9958666861163497,6.090809802662042e-06
CCDC68,4.351444702236636,0.0007064738647541987,5.130210175147816,-0.04120788051562889,0.9671301712677148,0.9810020268348612,5.884994641018704e-06
PER1,544.7423811379172,0.0026748704460259174,0.18774565163323856,0.010970274852475254,0.9912471626306497,0.9950574763746488,5.755874151260029e-06
ORM1,3.173192293262021,0.00254640518955616,1.7684549895044064,-0.011013393582312311,0.9912127609401101,0.9950574763746488,5.479438389614883e-06
KLHL31,4.005842760676487,0.0024644305660274555,1.9105777898163991,-0.011379032404600429,0.9909210416554367,0.9949326389845241,5.437326819557933e-06
TTC3P1,21.66080882375402,0.0028314924656642,0.7251981446322392,0.009315985594896062,0.9925670264403,0.9956769265459293,5.32761429112498e-06
FOXB1,5.210232199885967,0.0069326644316852265,5.655915121075615,-0.003538786302182214,0.9971764629387058,0.9985374089216758,4.406818883212688e-06
SMNDC1,165.18630633619867,0.0021994894336737356,0.22516050495381248,0.009372292595157672,0.992522101915421,0.9956769265459293,4.138464602013275e-06
LOC150935,4.953604037341506,0.004076808013601129,5.293357277366331,-0.005351679295274967,0.9957299980984193,0.9977130725227646,4.053722707080357e-06
BTC,9.233473262495837,0.005860807728466076,0.9428705104056707,0.003907502863535309,0.9968822717277741,0.9984131454245464,4.042255148579944e-06
LOC101927814,7.73597756329297,0.03717945385567963,0.4790931168482219,-0.000475586533890545,0.9996205368615877,0.9997908686581676,3.3771617167342544e-06
SLC16A6,14.043111588752833,0.0003955196465392232,0.35948995142282325,-0.04086376438813496,0.9674045051336364,0.9811672578561342,3.2657870897104283e-06
SLFNL1-AS1,3.9320234881989142,0.0055335958164799744,1.108419338921592,0.0029658023441043843,0.9976336355683304,0.9986760723665266,3.18378431310527e-06
SNORD45A,3.344784635110363,0.0068680927277091726,1.5333533714822634,0.0020326940109625076,0.9983781459486916,0.9990461423068048,2.846500458251961e-06
LOC101927248,31.85221779387001,0.002019376578534863,0.2638242985430889,0.006705473160366923,0.9946498465859834,0.9970442925548528,2.5960059722279546e-06
FAM163B,9.537159702263274,7.887662185013739e-05,0.4620710845267159,-0.1206470915681429,0.9039705675653297,0.944185166632534,1.9674059109078334e-06
MOB2,275.0883528998645,0.0027344845374593202,0.20515337952620444,0.0027930496560302624,0.9977714716994033,0.9986788975816967,1.5699408954705139e-06
LOC100129697,4.56715750692613,0.002407651238221963,4.956424036987291,0.0030423798496512196,0.9975725358346645,0.9986760723665266,1.3852551754594356e-06
REM1,10.199906331551663,0.002138117624021324,8.007654698421431,0.0034462845633922903,0.997250268197775,0.998554530461425,1.3431945390720947e-06
DYRK4,359.3635399021771,0.0012601602825485542,0.12841428841076558,0.005493009495099018,0.9956172345718369,0.997664584295475,1.279622648899186e-06
LVCAT1,6.158875008445188,0.00023918449415597916,3.7612461095722414,-0.0205884534797836,0.9835739513035484,0.990287472362516,1.0138348936192954e-06
MTCH2,1584.8430932513613,0.0009526368849437164,0.12931728424149885,0.004755166415397948,0.9962059404314088,0.9980439640601054,8.100533618174044e-07
HS6ST2,66.6655415333457,0.002187747328832341,0.4128396554905742,-0.001624518750306047,0.9987038221405115,0.9991577526317974,8.00578812214703e-07
MKRN2,558.8718580376035,0.0017730881298331333,0.13066512122385326,-0.0019190615796674429,0.9984688113341964,0.9990461423068048,7.348613908092308e-07
LGALS12,9.528264270942216,0.0017260245270855083,1.05659628972605,-0.0019065519262700754,0.9984787925752432,0.9990461423068048,7.153557475252347e-07
SNX11,681.1347963747742,0.0007723921756044378,0.1470869503975126,0.004591145643741811,0.9963368086436344,0.9980939164527113,6.399975914132987e-07
SLC16A5,19.360670098362732,0.0020867506938374684,1.0185681594963776,-0.0012539502196714878,0.9989994927419069,0.9993400027093245,5.983294598247332e-07
PCDHAC2,37.43860508682446,0.004267133726755297,0.33855090745645633,-0.0005956119220671472,0.9995247704712508,0.9997518706747092,4.598884954529892e-07
RINL,85.12892988737462,0.0014312203725956305,1.278698591573776,-0.001028137612950956,0.9991796650167706,0.9994634583776593,3.335882718710877e-07
PCDHAC1,6.451208633836602,0.018700785497351984,0.5192801169278926,-4.6836906063008736e-05,0.9999626295557902,0.9999633782131804,2.974347061318331e-07
C17orf85,231.70863244937271,0.00034589975344094846,0.33141171553447757,-0.003025126389080717,0.9975863020411242,0.9986760723665266,1.9901529591888614e-07
HDAC4,218.5030682650784,0.00023236391785312377,0.7081768100042649,0.003199997391783987,0.9974467758439823,0.9986760723665266,1.3369183820567794e-07
