Ensembl Gene ID,Gene Name,log2(Fold Change),adjusted p,biotype,direction
ENSG00000232893,IQCA1-AS1,-2.6659994476444,0.00611625380064619,antisense_RNA,Downregulated
ENSG00000006047,YBX2,-2.66334440660344,0.0165101270802315,protein_coding,Downregulated
ENSG00000226849,AL109811.1,-2.65754981410144,0.00089326397824557,antisense_RNA,Downregulated
ENSG00000255200,PGAM1P8,-2.65509097318188,0.0337704823305932,transcribed_processed_pseudogene,Downregulated
ENSG00000185988,PLK5,-2.6529079613134,0.00167067499946553,protein_coding,Downregulated
ENSG00000259219,AC084855.2,-2.64532033360214,0.0292440004023009,antisense_RNA,Downregulated
ENSG00000081041,CXCL2,-2.63637985788838,0.0337967640154501,protein_coding,Downregulated
ENSG00000225549,AL359634.1,-2.63554459434198,0.0259101015636453,transcribed_processed_pseudogene,Downregulated
ENSG00000235725,AC007389.3,-2.6329650284915,0.0328622320417105,lincRNA,Downregulated
ENSG00000276653,RN7SL856P,-2.62612969540705,0.0404852296630365,misc_RNA,Downregulated
ENSG00000249514,TMEM251P1,-2.61899520079845,0.00785380399599547,processed_pseudogene,Downregulated
ENSG00000269189,AL445223.1,-2.61660610229973,0.000237014070158593,sense_intronic,Downregulated
ENSG00000279770,LINC00552,-2.61344948774991,0.0346600696212091,TEC,Downregulated
ENSG00000251488,AC115622.1,-2.59484009298726,0.0407235238844551,lincRNA,Downregulated
ENSG00000250282,AC002401.2,-2.59083598999177,0.0388881265047008,antisense_RNA,Downregulated
ENSG00000259349,AC011921.1,-2.57905178704814,0.0477865361035557,antisense_RNA,Downregulated
ENSG00000265018,AGAP12P,-2.57441649228795,0.0187935567442886,transcribed_unprocessed_pseudogene,Downregulated
ENSG00000280119,AC093642.2,-2.56843475588552,0.000259010616065712,TEC,Downregulated
ENSG00000270154,AC130352.1,-2.56459491073485,0.0265004557198582,lincRNA,Downregulated
ENSG00000253855,AC245187.1,-2.55476346760471,0.038242594975084,lincRNA,Downregulated
ENSG00000230729,AL160270.1,-2.5514759616642,0.0202462404012264,antisense_RNA,Downregulated
ENSG00000168843,FSTL5,-2.55088303980348,0.000314145420570415,protein_coding,Downregulated
ENSG00000255040,MORF4L1P3,-2.53767974404321,0.00625959054719579,processed_pseudogene,Downregulated
ENSG00000250541,AC092436.4,-2.53225993528233,0.0425167436691068,antisense_RNA,Downregulated
ENSG00000175868,CALCB,-2.53104029172349,0.0117878905354482,protein_coding,Downregulated
ENSG00000229740,U91324.1,-2.52980330114546,0.0223564519214323,lincRNA,Downregulated
ENSG00000260995,AL512634.1,-2.52856709918369,0.0463171017927286,lincRNA,Downregulated
ENSG00000150556,LYPD6B,-2.52807528769743,0.00324712337117833,protein_coding,Downregulated
ENSG00000252892,RNU6-548P,-2.51542996348499,0.0235285224238135,snRNA,Downregulated
ENSG00000141434,MEP1B,-2.51180555613688,0.000832782320356009,protein_coding,Downregulated
ENSG00000213659,RSU1P3,-2.50581598617727,0.00604392891416028,processed_pseudogene,Downregulated
ENSG00000224700,AP000844.1,-2.50563476479331,0.00352749439590414,antisense_RNA,Downregulated
ENSG00000251165,F11-AS1,-2.50112258280288,0.000267954361857803,antisense_RNA,Downregulated
ENSG00000215004,MESTP4,-2.4928420391858,0.00828157050673218,processed_pseudogene,Downregulated
ENSG00000283268,AP001160.5,-2.48314746546531,0.0173524902141937,protein_coding,Downregulated
ENSG00000188933,USP32P1,-2.47799412923976,0.0366946853028583,transcribed_unprocessed_pseudogene,Downregulated
ENSG00000228547,OR7E26P,-2.47574563278787,0.00609133386234307,unprocessed_pseudogene,Downregulated
ENSG00000239503,MARK2P8,-2.46848318228516,0.0293397929029564,processed_pseudogene,Downregulated
ENSG00000217527,RPS16P5,-2.4647471874193,0.0207552290097141,transcribed_processed_pseudogene,Downregulated
ENSG00000231742,LINC01273,-2.45880893444502,0.0139023743355502,lincRNA,Downregulated
ENSG00000257743,MGAM2,-2.45298412879749,0.0106828953791133,protein_coding,Downregulated
ENSG00000234187,AIMP1P1,-2.44887211448583,0.00248996306862848,processed_pseudogene,Downregulated
ENSG00000260818,AC137527.1,-2.44375821909214,0.01058660942679,processed_pseudogene,Downregulated
ENSG00000254051,AC011853.1,-2.44078186596931,0.00278244447017579,processed_pseudogene,Downregulated
ENSG00000230044,AC110754.1,-2.43058140036224,0.000523270381882516,processed_pseudogene,Downregulated
ENSG00000249330,AC095060.1,-2.42950742142047,0.0301611969253089,antisense_RNA,Downregulated
ENSG00000235984,GPC5-AS1,-2.42488812772361,0.00353084562841558,antisense_RNA,Downregulated
ENSG00000136826,KLF4,-2.42318757197782,0.000642022909682781,protein_coding,Downregulated
ENSG00000253444,AC245519.1,-2.41522991033018,0.0351018608976098,lincRNA,Downregulated
ENSG00000231181,AL954705.1,-2.40961036940476,0.0116102551372244,processed_pseudogene,Downregulated
ENSG00000272235,AL590438.1,-2.40708322979528,0.000434011242423867,lincRNA,Downregulated
ENSG00000199477,SNORA31,-2.3889971923477,0.023981891439845,snoRNA,Downregulated
ENSG00000266467,RN7SL220P,-2.37865058570791,0.036172447821476,misc_RNA,Downregulated
ENSG00000251209,LINC00923,-2.37854932228541,0.0431959457322027,lincRNA,Downregulated
ENSG00000241484,ARHGAP8,-2.37594165434758,0.0150885830152571,protein_coding,Downregulated
ENSG00000228219,NPM1P30,-2.37045409672246,0.000691508031035233,processed_pseudogene,Downregulated
ENSG00000242229,RPS3AP14,-2.36706657684518,0.0256739572901243,processed_pseudogene,Downregulated
