Ensembl Gene ID,Gene Name,log2(Fold Change),adjusted p,biotype,direction
ENSG00000205403,CFI,3.2044809163892,0.00286976623374569,protein_coding,Upregulated
ENSG00000123485,HJURP,3.18784527660157,0.00127321388463903,protein_coding,Upregulated
ENSG00000124107,SLPI,3.18499163351765,0.0328796316183936,protein_coding,Upregulated
ENSG00000111424,VDR,3.17755297621057,0.0386465543507342,protein_coding,Upregulated
ENSG00000100336,APOL4,3.17591516763963,0.0241601394466027,protein_coding,Upregulated
ENSG00000182718,ANXA2,3.17432134937929,0.000405944089457762,protein_coding,Upregulated
ENSG00000105971,CAV2,3.15548311562996,0.00384159524726972,protein_coding,Upregulated
ENSG00000183853,KIRREL1,3.15332301099906,0.000901754014518599,protein_coding,Upregulated
ENSG00000196542,SPTSSB,3.14753719012135,0.00314740491028819,protein_coding,Upregulated
ENSG00000167434,CA4,3.1418182264254,0.00926117211748334,protein_coding,Upregulated
ENSG00000243710,CFAP57,3.13940077018666,0.0245231265835963,protein_coding,Upregulated
ENSG00000065485,PDIA5,3.11685618336832,0.000303264463437122,protein_coding,Upregulated
ENSG00000178796,RIIAD1,3.08957903436769,0.00667877844100314,protein_coding,Upregulated
ENSG00000145703,IQGAP2,3.08741675506923,3.02322135346605e-05,protein_coding,Upregulated
ENSG00000085276,MECOM,3.08259366189054,0.00574054567596407,protein_coding,Upregulated
ENSG00000182963,GJC1,3.08088771431533,0.0279421142617262,protein_coding,Upregulated
ENSG00000232093,DCST1-AS1,3.07643936696498,0.037809159720809,antisense_RNA,Upregulated
ENSG00000108846,ABCC3,3.07485702731109,0.0133476893647452,protein_coding,Upregulated
ENSG00000026508,CD44,3.06877520119804,0.000805160896097976,protein_coding,Upregulated
ENSG00000254238,AC100782.1,3.06264403083686,0.0255603647977875,antisense_RNA,Upregulated
ENSG00000143476,DTL,3.03050692206888,0.000543259783390485,protein_coding,Upregulated
ENSG00000122679,RAMP3,3.0183406843838,0.0134422608751033,protein_coding,Upregulated
ENSG00000183346,C10orf107,3.01560849136482,0.00035691134900878,protein_coding,Upregulated
ENSG00000274750,HIST1H3E,2.99900261730042,0.000482438696017101,protein_coding,Upregulated
ENSG00000165084,C8orf34,2.99335043908802,0.00517675487484402,protein_coding,Upregulated
ENSG00000142449,FBN3,2.99086328512371,0.0181766983806723,protein_coding,Upregulated
ENSG00000156140,ADAMTS3,2.96320999268266,0.000221137277761926,protein_coding,Upregulated
ENSG00000003436,TFPI,2.94371126516156,0.00305307744310838,protein_coding,Upregulated
ENSG00000188523,CFAP77,2.94313559883032,0.0348861198029036,protein_coding,Upregulated
ENSG00000146670,CDCA5,2.92971173783137,0.000403878199727732,protein_coding,Upregulated
ENSG00000142621,FHAD1,2.92952219630998,0.000540521047867595,protein_coding,Upregulated
ENSG00000135842,FAM129A,2.9125820144714,0.00044765345758816,protein_coding,Upregulated
ENSG00000117114,ADGRL2,2.90355207798856,0.00426164600734191,protein_coding,Upregulated
ENSG00000278962,AC092645.1,2.896026632432,0.017106124939812,TEC,Upregulated
ENSG00000233822,HIST1H2BN,2.88461916001704,0.00849116022473337,protein_coding,Upregulated
ENSG00000277157,HIST1H4D,2.87835586426722,0.000310210530750057,protein_coding,Upregulated
ENSG00000272619,AC093673.2,2.87377590142804,0.0247362318380922,lincRNA,Upregulated
ENSG00000073792,IGF2BP2,2.86929191789476,0.00392362607222468,protein_coding,Upregulated
ENSG00000139354,GAS2L3,2.86786355436722,0.0014983203446133,protein_coding,Upregulated
ENSG00000049192,ADAMTS6,2.86666725473444,0.00258282470699475,protein_coding,Upregulated
ENSG00000235750,KIAA0040,2.85823644483327,0.00060394608360636,protein_coding,Upregulated
ENSG00000254919,AC090692.1,2.84550972924801,0.0321150082224496,antisense_RNA,Upregulated
ENSG00000249035,CLMAT3,2.8441053937056,0.0255547458544109,antisense_RNA,Upregulated
ENSG00000163873,GRIK3,2.83135732295939,0.00264417005882571,protein_coding,Upregulated
ENSG00000272995,AC097505.1,2.82018266869495,0.0221360669782385,antisense_RNA,Upregulated
ENSG00000111335,OAS2,2.81194306631403,0.00406401370186771,protein_coding,Upregulated
ENSG00000147036,LANCL3,2.78335533708719,0.0404852296630365,protein_coding,Upregulated
ENSG00000163072,NOSTRIN,2.78253801759805,0.0227455187788994,protein_coding,Upregulated
ENSG00000176887,SOX11,2.76798030519052,0.00160611095105366,protein_coding,Upregulated
ENSG00000087494,PTHLH,2.76549107055175,0.00885548480115531,protein_coding,Upregulated
ENSG00000174226,SNX31,2.76226678169432,0.0435677025000028,protein_coding,Upregulated
ENSG00000136492,BRIP1,2.76150348010891,0.000739058415070623,protein_coding,Upregulated
ENSG00000169679,BUB1,2.74918719691119,0.00347976318911913,protein_coding,Upregulated
ENSG00000128591,FLNC,2.73439008962913,7.23468733724057e-06,protein_coding,Upregulated
ENSG00000184731,FAM110C,2.72999532985796,0.0130700971008246,protein_coding,Upregulated
ENSG00000223382,LINC01778,2.72648687079222,0.0456251420654843,lincRNA,Upregulated
ENSG00000158258,CLSTN2,2.70500442456749,0.000366363305233884,protein_coding,Upregulated
ENSG00000170961,HAS2,2.70364358256997,0.014763924945661,protein_coding,Upregulated
ENSG00000089101,CFAP61,2.68726543457617,0.000258375092921553,protein_coding,Upregulated
ENSG00000145681,HAPLN1,2.68205103563536,0.00444000497465481,protein_coding,Upregulated
ENSG00000246898,LINC00920,2.67687737972411,0.0313961222113989,lincRNA,Upregulated
ENSG00000154839,SKA1,2.67191463854399,0.0442429488645747,protein_coding,Upregulated
ENSG00000277075,HIST1H2AE,2.66129907646681,0.00815030185020745,protein_coding,Upregulated
ENSG00000277224,HIST1H2BF,2.65852890237756,2.96932118893118e-05,protein_coding,Upregulated
ENSG00000124635,HIST1H2BJ,2.6573530714931,0.032043690109799,protein_coding,Upregulated
ENSG00000213148,AC073465.1,2.65093744897734,0.0119105064120029,processed_pseudogene,Upregulated
ENSG00000105974,CAV1,2.63937978634489,0.0114662430760328,protein_coding,Upregulated
ENSG00000162645,GBP2,2.6375488648562,0.000125301820058016,protein_coding,Upregulated
ENSG00000053438,NNAT,2.63263572632989,0.00471397283665138,protein_coding,Upregulated
ENSG00000162654,GBP4,2.61647450207473,0.00121366018150395,protein_coding,Upregulated
ENSG00000205929,C21orf62,2.61334409946979,0.0022303277780883,protein_coding,Upregulated
ENSG00000196890,HIST3H2BB,2.60729287279604,0.0357467500757555,protein_coding,Upregulated
ENSG00000173714,WFIKKN2,2.60402854845301,0.0273612532913191,protein_coding,Upregulated
ENSG00000172020,GAP43,2.59517859005108,0.000331765464688253,protein_coding,Upregulated
ENSG00000185008,ROBO2,2.58388035580756,0.0101956639282368,protein_coding,Upregulated
ENSG00000183856,IQGAP3,2.58330936894975,0.0478538828389936,protein_coding,Upregulated
ENSG00000167858,TEKT1,2.57428194135866,0.018219907810029,protein_coding,Upregulated
ENSG00000137959,IFI44L,2.56917835450563,0.000739058415070623,protein_coding,Upregulated
ENSG00000253676,TAGLN2P1,2.5630117450788,1.30517903272342e-05,processed_pseudogene,Upregulated
ENSG00000105251,SHD,2.55578474687476,0.00727649623954112,protein_coding,Upregulated
ENSG00000162692,VCAM1,2.55244525369205,0.0118277077617292,protein_coding,Upregulated
ENSG00000157510,AFAP1L1,2.54258450860907,0.00117653539804737,protein_coding,Upregulated
ENSG00000181218,HIST3H2A,2.52674289126322,0.00414096141433195,protein_coding,Upregulated
ENSG00000205413,SAMD9,2.5159523807662,0.00017441975107403,protein_coding,Upregulated
ENSG00000159259,CHAF1B,2.51335652057266,1.47642976659992e-05,protein_coding,Upregulated
ENSG00000102271,KLHL4,2.5119520782481,0.00849116022473337,protein_coding,Upregulated
ENSG00000157168,NRG1,2.50758703692696,0.0346600696212091,protein_coding,Upregulated
ENSG00000145386,CCNA2,2.50490208217076,0.000648354243520131,protein_coding,Upregulated
ENSG00000175445,LPL,2.49198973136468,0.00343967365044006,protein_coding,Upregulated
ENSG00000178965,ERICH3,2.48127712267374,0.00535991685765832,protein_coding,Upregulated
ENSG00000186185,KIF18B,2.47451380785362,0.0247362318380922,protein_coding,Upregulated
ENSG00000122012,SV2C,2.47083662234259,0.0193142298886416,protein_coding,Upregulated
ENSG00000168743,NPNT,2.45371504482099,0.00155374329409516,protein_coding,Upregulated
ENSG00000156219,ART3,2.45313454307265,0.0192117650120905,protein_coding,Upregulated
ENSG00000178031,ADAMTSL1,2.45011883596768,0.029998496978128,protein_coding,Upregulated
ENSG00000276966,HIST1H4E,2.44425071893249,3.39064281289934e-05,protein_coding,Upregulated
ENSG00000029153,ARNTL2,2.43865956127158,0.00321034650163109,protein_coding,Upregulated
ENSG00000213954,ATP5HP3,2.43314043135371,0.0272920986094971,processed_pseudogene,Upregulated
ENSG00000158710,TAGLN2,2.4327279073804,3.54000877508029e-05,protein_coding,Upregulated
ENSG00000117600,PLPPR4,2.43209761302677,0.0142225048099445,protein_coding,Upregulated
ENSG00000162490,DRAXIN,2.43019533924325,0.014845603636832,protein_coding,Upregulated
ENSG00000169760,NLGN1,2.4296871131626,0.000563113210885354,protein_coding,Upregulated
ENSG00000169083,AR,2.41434651215712,0.000118138714403907,protein_coding,Upregulated
ENSG00000170439,METTL7B,2.40044516573464,0.00451590252548598,protein_coding,Upregulated
ENSG00000132432,SEC61G,2.39581468232788,0.0001567026544564,protein_coding,Upregulated
ENSG00000125319,C17orf53,2.39551841430096,0.00590312091275093,protein_coding,Upregulated
ENSG00000114200,BCHE,2.3919438122485,0.00831629882751857,protein_coding,Upregulated
ENSG00000157150,TIMP4,2.39083928031659,0.00114939633659414,protein_coding,Upregulated
ENSG00000129810,SGO1,2.38978524724731,0.0338656136825389,protein_coding,Upregulated
ENSG00000113083,LOX,2.38918858754077,0.00246969691825742,protein_coding,Upregulated
ENSG00000184307,ZDHHC23,2.37991137751135,0.000137323899953354,protein_coding,Upregulated
ENSG00000176014,TUBB6,2.37509594700719,0.00311379618484897,protein_coding,Upregulated
ENSG00000165071,TMEM71,2.37073679056017,0.0314114321192854,protein_coding,Upregulated
ENSG00000201201,RN7SKP118,2.36903072893663,0.0193639808645041,misc_RNA,Upregulated
ENSG00000082438,COBLL1,2.36738427102072,0.000623318833496871,protein_coding,Upregulated
ENSG00000150722,PPP1R1C,2.36375059419433,0.00366523557646181,protein_coding,Upregulated
ENSG00000181458,TMEM45A,2.32649372503435,0.0490872015970881,protein_coding,Upregulated
ENSG00000112559,MDFI,2.32403961734704,0.0265273648654197,protein_coding,Upregulated
ENSG00000179299,NSUN7,2.32041325596673,0.00230914944776792,protein_coding,Upregulated
ENSG00000120318,ARAP3,2.31775827863968,0.0118936647198467,protein_coding,Upregulated
ENSG00000166483,WEE1,2.31106434138174,0.000329703246082714,protein_coding,Upregulated
ENSG00000185112,FAM43A,2.30576515322867,0.0352546337905476,protein_coding,Upregulated
ENSG00000137809,ITGA11,2.30522298353355,0.039476984095816,protein_coding,Upregulated
ENSG00000183098,GPC6,2.29978959991261,0.00164547545773647,protein_coding,Upregulated
ENSG00000137812,KNL1,2.29118342437008,0.014386171538748,protein_coding,Upregulated
ENSG00000242670,RPL22P13,2.27546252371364,0.0138169184826752,processed_pseudogene,Upregulated
ENSG00000106823,ECM2,2.27271453750547,0.000559813519495226,protein_coding,Upregulated
ENSG00000071539,TRIP13,2.27193882713403,0.0154898201969384,protein_coding,Upregulated
ENSG00000132561,MATN2,2.27101854072988,0.000201026264137329,protein_coding,Upregulated
ENSG00000168298,HIST1H1E,2.27095638608687,4.21213319708286e-06,protein_coding,Upregulated
ENSG00000188060,RAB42,2.27064275021462,0.0119167556008697,protein_coding,Upregulated
ENSG00000197903,HIST1H2BK,2.2577902571505,0.000636187546379793,protein_coding,Upregulated
ENSG00000262902,MTCO1P40,2.25487039002873,0.00392637190995786,processed_pseudogene,Upregulated
ENSG00000089127,OAS1,2.25484001346251,0.00780699102934356,protein_coding,Upregulated
ENSG00000115461,IGFBP5,2.23509883345994,5.59465965618031e-05,protein_coding,Upregulated
ENSG00000152760,TCTEX1D1,2.22622112465469,0.0241773245241561,protein_coding,Upregulated
ENSG00000117318,ID3,2.21620443336262,0.00399496246493179,protein_coding,Upregulated
ENSG00000117228,GBP1,2.21284680726108,0.00127050247141308,protein_coding,Upregulated
ENSG00000087245,MMP2,2.21130877450944,0.00205035942242825,protein_coding,Upregulated
ENSG00000225649,AC064875.1,2.2099281262334,0.00568903463974727,processed_transcript,Upregulated
ENSG00000164879,CA3,2.20458797294208,0.0272435600820227,protein_coding,Upregulated
ENSG00000204860,FAM201A,2.19911123270742,0.0388442873921328,antisense_RNA,Upregulated
ENSG00000104368,PLAT,2.19762992355003,0.0025842040108652,protein_coding,Upregulated
ENSG00000280417,AC096887.2,2.17639913687165,0.00538833090400771,TEC,Upregulated
ENSG00000211445,GPX3,2.17356067157468,0.0359476860335356,protein_coding,Upregulated
ENSG00000106483,SFRP4,2.16925843591329,0.007696994257295,protein_coding,Upregulated
ENSG00000276180,HIST1H4I,2.16911361804571,0.000695618816774583,protein_coding,Upregulated
ENSG00000241158,ADAMTS9-AS1,2.15404710681185,0.0338421463116899,antisense_RNA,Upregulated
ENSG00000137573,SULF1,2.1513097995912,0.0239325212273192,protein_coding,Upregulated
ENSG00000151725,CENPU,2.14206121551331,0.0132956291014003,protein_coding,Upregulated
ENSG00000002587,HS3ST1,2.13766523450879,0.0093017355305015,protein_coding,Upregulated
ENSG00000102265,TIMP1,2.13539595675617,1.88920849947461e-07,protein_coding,Upregulated
